card_id,name,number,rarity,set.name,set.series,set.release_date,images.large,status
mcd18-7,Cubone,7,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/7_hires.png,broken
mcd17-6,Cosmog,6,,McDonald's Collection 2017,Other,2017/11/07,https://images.pokemontcg.io/mcd17/6_hires.png,broken
mcd18-4,Pikachu,4,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/4_hires.png,broken
mcd18-1,Growlithe,1,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/1_hires.png,broken
mcd18-2,Psyduck,2,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/2_hires.png,broken
mcd17-10,Cutiefly,10,,McDonald's Collection 2017,Other,2017/11/07,https://images.pokemontcg.io/mcd17/10_hires.png,broken
mcd18-8,Magnemite,8,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/8_hires.png,broken
mcd18-6,Machop,6,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/6_hires.png,broken
mcd18-12,Porygon,12,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/12_hires.png,broken
mcd18-11,Eevee,11,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/11_hires.png,broken
mcd17-9,Alolan Diglett,9,,McDonald's Collection 2017,Other,2017/11/07,https://images.pokemontcg.io/mcd17/9_hires.png,broken
mcd18-9,Dratini,9,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/9_hires.png,broken
mcd18-3,Horsea,3,,McDonald's Collection 2018,Other,2018/10/16,https://images.pokemontcg.io/mcd18/3_hires.png,broken
