card_id,name,supertype,subtypes,types,hp,number,rarity,artist,set.id,set.name,set.series,set.release_date,release_year,images.small,images.large,prices.tcgplayer_variants.normal.market,prices.tcgplayer_variants.holofoil.market,prices.tcgplayer_variants.reverseHolofoil.market,prices.cardmarket_trend,prices.cardmarket_avg_sell,effective_market_price
base3-1,Aerodactyl,Pokémon,Stage 1,Fighting,60.0,1,Rare Holo,Kagemaru Himeno,base3,Fossil,Base,1999/10/10,1999,https://images.pokemontcg.io/base3/1.png,https://images.pokemontcg.io/base3/1_hires.png,,,,44.11,31.61,44.11
sm9-1,Celebi & Venusaur-GX,Pokémon,"Basic, TAG TEAM, GX",Grass,270.0,1,Rare Holo GX,Mitsuhiro Arita,sm9,Team Up,Sun & Moon,2019/02/01,2019,https://images.pokemontcg.io/sm9/1.png,https://images.pokemontcg.io/sm9/1_hires.png,,51.64,,43.84,39.66,51.64
xy2-1,Caterpie,Pokémon,Basic,Grass,40.0,1,Common,Sumiyoshi Kizuki,xy2,Flashfire,XY,2014/05/07,2014,https://images.pokemontcg.io/xy2/1.png,https://images.pokemontcg.io/xy2/1_hires.png,0.24,,0.67,0.09,0.13,0.24
pop6-1,Bastiodon,Pokémon,Stage 2,Metal,130.0,1,Rare,Kazuyuki Kano,pop6,POP Series 6,POP,2007/09/01,2007,https://images.pokemontcg.io/pop6/1.png,https://images.pokemontcg.io/pop6/1_hires.png,6.65,,,1.76,1.83,6.65
ecard2-H2,Arcanine,Pokémon,Stage 1,Fire,90.0,H2,Rare Holo,Kyoko Umemoto,ecard2,Aquapolis,E-Card,2003/01/15,2003,https://images.pokemontcg.io/ecard2/H2.png,https://images.pokemontcg.io/ecard2/H2_hires.png,,,,229.99,131.73,229.99
hgss4-2,Altaria,Pokémon,Stage 1,Colorless,90.0,2,Rare Holo,Ryo Ueda,hgss4,HS—Triumphant,HeartGold & SoulSilver,2010/11/03,2010,https://images.pokemontcg.io/hgss4/2.png,https://images.pokemontcg.io/hgss4/2_hires.png,,11.67,12.57,3.79,3.41,11.67
pl1-2,Blastoise,Pokémon,Stage 2,Water,130.0,2,Rare Holo,Kagemaru Himeno,pl1,Platinum,Platinum,2009/02/11,2009,https://images.pokemontcg.io/pl1/2.png,https://images.pokemontcg.io/pl1/2_hires.png,,58.59,35.0,7.64,12.24,58.59
ex3-2,Altaria,Pokémon,Stage 1,Colorless,80.0,2,Rare Holo,Atsuko Nishida,ex3,Dragon,EX,2003/11/24,2003,https://images.pokemontcg.io/ex3/2.png,https://images.pokemontcg.io/ex3/2_hires.png,,61.05,28.06,17.23,19.16,61.05
dp3-2,Blastoise,Pokémon,Stage 2,Water,120.0,2,Rare Holo,Daisuke Ito,dp3,Secret Wonders,Diamond & Pearl,2007/11/01,2007,https://images.pokemontcg.io/dp3/2.png,https://images.pokemontcg.io/dp3/2_hires.png,,99.5,100.19,9.64,12.63,99.5
base3-2,Articuno,Pokémon,Basic,Water,70.0,2,Rare Holo,Mitsuhiro Arita,base3,Fossil,Base,1999/10/10,1999,https://images.pokemontcg.io/base3/2.png,https://images.pokemontcg.io/base3/2_hires.png,,,,67.05,59.72,67.05
pl3-2,Blaziken FB,Pokémon,"Basic, SP",Fire,80.0,2,Rare Holo,Motofumi Fujiwara,pl3,Supreme Victors,Platinum,2009/08/19,2009,https://images.pokemontcg.io/pl3/2.png,https://images.pokemontcg.io/pl3/2_hires.png,,38.0,36.0,9.49,9.39,38.0
ex11-2,Crobat δ,Pokémon,Stage 2,"Grass, Metal",90.0,2,Rare Holo,Ryo Ueda,ex11,Delta Species,EX,2005/10/31,2005,https://images.pokemontcg.io/ex11/2.png,https://images.pokemontcg.io/ex11/2_hires.png,,26.54,76.62,5.2,4.39,26.54
pop6-2,Lucario,Pokémon,Stage 1,Fighting,90.0,2,Rare,Kouki Saitou,pop6,POP Series 6,POP,2007/09/01,2007,https://images.pokemontcg.io/pop6/2.png,https://images.pokemontcg.io/pop6/2_hires.png,35.1,,,9.93,9.28,35.1
xy2-2,Metapod,Pokémon,Stage 1,Grass,70.0,2,Uncommon,kawayoo,xy2,Flashfire,XY,2014/05/07,2014,https://images.pokemontcg.io/xy2/2.png,https://images.pokemontcg.io/xy2/2_hires.png,0.28,,1.29,0.17,0.2,0.28
base4-2,Blastoise,Pokémon,Stage 2,Water,100.0,2,Rare Holo,Ken Sugimori,base4,Base Set 2,Base,2000/02/24,2000,https://images.pokemontcg.io/base4/2.png,https://images.pokemontcg.io/base4/2_hires.png,,154.74,,101.77,79.59,154.74
gym1-2,Brock's Rhydon,Pokémon,Stage 1,Fighting,80.0,2,Rare Holo,Ken Sugimori,gym1,Gym Heroes,Gym,2000/08/14,2000,https://images.pokemontcg.io/gym1/2.png,https://images.pokemontcg.io/gym1/2_hires.png,,,,31.89,24.54,31.89
hgss1-2,Azumarill,Pokémon,Stage 1,Water,90.0,2,Rare Holo,Kouki Saitou,hgss1,HeartGold & SoulSilver,HeartGold & SoulSilver,2010/02/10,2010,https://images.pokemontcg.io/hgss1/2.png,https://images.pokemontcg.io/hgss1/2_hires.png,,9.71,11.0,3.64,3.64,9.71
det1-2,Ludicolo,Pokémon,Stage 2,Grass,140.0,2,Rare,Framestore,det1,Detective Pikachu,Sun & Moon,2019/04/05,2019,https://images.pokemontcg.io/det1/2.png,https://images.pokemontcg.io/det1/2_hires.png,,1.01,,1.69,1.8,1.01
sm9-2,Weedle,Pokémon,Basic,Grass,40.0,2,Common,Shibuzoh.,sm9,Team Up,Sun & Moon,2019/02/01,2019,https://images.pokemontcg.io/sm9/2.png,https://images.pokemontcg.io/sm9/2_hires.png,0.28,,2.38,0.17,0.14,0.28
ex12-2,Aggron,Pokémon,Stage 2,Metal,110.0,2,Rare Holo,Hisao Nakamura,ex12,Legend Maker,EX,2006/02/01,2006,https://images.pokemontcg.io/ex12/2.png,https://images.pokemontcg.io/ex12/2_hires.png,,25.55,58.52,8.74,8.11,25.55
ex7-2,Dark Ampharos,Pokémon,Stage 2,"Lightning, Darkness",120.0,2,Rare Holo,Emi Miwa,ex7,Team Rocket Returns,EX,2004/11/01,2004,https://images.pokemontcg.io/ex7/2.png,https://images.pokemontcg.io/ex7/2_hires.png,0.69,114.96,144.14,34.37,22.0,0.69
ru1-2,Cherrim,Pokémon,Stage 1,Grass,80.0,2,,Pokemon Rumble,ru1,Pokémon Rumble,Other,2009/12/02,2009,https://images.pokemontcg.io/ru1/2.png,https://images.pokemontcg.io/ru1/2_hires.png,89.99,,,24.94,39.98,89.99
mcd19-2,Alolan Exeggutor,Pokémon,Stage 1,Grass,160.0,2,,Satoshi Shirai,mcd19,McDonald's Collection 2019,Other,2019/10/15,2019,https://images.pokemontcg.io/mcd19/2.png,https://images.pokemontcg.io/mcd19/2_hires.png,,7.77,,1.71,2.03,7.77
xy5-2,Kakuna,Pokémon,Stage 1,Grass,80.0,2,Uncommon,Kagemaru Himeno,xy5,Primal Clash,XY,2015/02/04,2015,https://images.pokemontcg.io/xy5/2.png,https://images.pokemontcg.io/xy5/2_hires.png,0.21,,0.5,0.19,0.2,0.21
xy11-1,Tangela,Pokémon,Basic,Grass,80.0,1,Common,OOYAMA,xy11,Steam Siege,XY,2016/08/03,2016,https://images.pokemontcg.io/xy11/1.png,https://images.pokemontcg.io/xy11/1_hires.png,0.27,,0.41,0.11,0.13,0.27
ex14-1,Banette,Pokémon,Stage 1,Psychic,70.0,1,Rare Holo,Kyoko Umemoto,ex14,Crystal Guardians,EX,2006/08/01,2006,https://images.pokemontcg.io/ex14/1.png,https://images.pokemontcg.io/ex14/1_hires.png,,17.52,36.22,4.95,4.17,17.52
sm12-1,Venusaur & Snivy-GX,Pokémon,"Basic, TAG TEAM, GX",Grass,270.0,1,Rare Holo GX,Mitsuhiro Arita,sm12,Cosmic Eclipse,Sun & Moon,2019/11/01,2019,https://images.pokemontcg.io/sm12/1.png,https://images.pokemontcg.io/sm12/1_hires.png,,27.83,,19.72,21.34,27.83
bw1-1,Snivy,Pokémon,Basic,Grass,60.0,1,Common,Kagemaru Himeno,bw1,Black & White,Black & White,2011/04/25,2011,https://images.pokemontcg.io/bw1/1.png,https://images.pokemontcg.io/bw1/1_hires.png,0.37,,2.02,1.34,0.92,0.37
sm115-1,Caterpie,Pokémon,Basic,Grass,60.0,1,Common,tetsuya koizumi,sm115,Hidden Fates,Sun & Moon,2019/08/23,2019,https://images.pokemontcg.io/sm115/1.png,https://images.pokemontcg.io/sm115/1_hires.png,0.2,,0.42,0.06,0.07,0.2
si1-1,Mew,Pokémon,Basic,Psychic,30.0,1,,Keiko Fukuyama,si1,Southern Islands,Other,2001/07/31,2001,https://images.pokemontcg.io/si1/1.png,https://images.pokemontcg.io/si1/1_hires.png,,,601.03,512.81,325.87,601.03
dp1-1,Dialga,Pokémon,Basic,Metal,90.0,1,Rare Holo,Nakaoka,dp1,Diamond & Pearl,Diamond & Pearl,2007/05/01,2007,https://images.pokemontcg.io/dp1/1.png,https://images.pokemontcg.io/dp1/1_hires.png,,42.93,18.29,6.65,5.98,42.93
sm3-1,Caterpie,Pokémon,Basic,Grass,50.0,1,Common,Sekio,sm3,Burning Shadows,Sun & Moon,2017/08/05,2017,https://images.pokemontcg.io/sm3/1.png,https://images.pokemontcg.io/sm3/1_hires.png,0.28,,0.51,0.07,0.08,0.28
pop7-1,Ampharos,Pokémon,Stage 2,Lightning,130.0,1,Rare,Kouki Saitou,pop7,POP Series 7,POP,2008/03/01,2008,https://images.pokemontcg.io/pop7/1.png,https://images.pokemontcg.io/pop7/1_hires.png,14.68,28.15,,9.85,14.68,14.68
gym2-1,Blaine's Arcanine,Pokémon,Stage 1,Fire,90.0,1,Rare Holo,Ken Sugimori,gym2,Gym Challenge,Gym,2000/10/16,2000,https://images.pokemontcg.io/gym2/1.png,https://images.pokemontcg.io/gym2/1_hires.png,,,,95.7,130.78,95.7
col1-1,Clefable,Pokémon,Stage 1,Colorless,80.0,1,Rare Holo,sui,col1,Call of Legends,HeartGold & SoulSilver,2011/02/09,2011,https://images.pokemontcg.io/col1/1.png,https://images.pokemontcg.io/col1/1_hires.png,,17.95,12.68,7.64,14.19,17.95
ex9-1,Blaziken,Pokémon,Stage 2,Fire,110.0,1,Rare Holo,Midori Harada,ex9,Emerald,EX,2005/05/01,2005,https://images.pokemontcg.io/ex9/1.png,https://images.pokemontcg.io/ex9/1_hires.png,,57.49,185.0,2.99,3.99,57.49
bw10-1,Surskit,Pokémon,Basic,Grass,50.0,1,Common,Naoyo Kimura,bw10,Plasma Blast,Black & White,2013/08/14,2013,https://images.pokemontcg.io/bw10/1.png,https://images.pokemontcg.io/bw10/1_hires.png,0.23,,0.83,0.15,0.18,0.23
swsh35-1,Venusaur V,Pokémon,"Basic, V",Grass,220.0,1,Rare Holo V,PLANETA Mochizuki,swsh35,Champion's Path,Sword & Shield,2020/09/25,2020,https://images.pokemontcg.io/swsh35/1.png,https://images.pokemontcg.io/swsh35/1_hires.png,,2.95,,4.07,3.43,2.95
xy7-1,Oddish,Pokémon,Basic,Grass,50.0,1,Common,MAHOU,xy7,Ancient Origins,XY,2015/08/12,2015,https://images.pokemontcg.io/xy7/1.png,https://images.pokemontcg.io/xy7/1_hires.png,0.32,,0.73,0.12,0.11,0.32
sm1-1,Caterpie,Pokémon,Basic,Grass,50.0,1,Common,Kanako Eo,sm1,Sun & Moon,Sun & Moon,2017/02/03,2017,https://images.pokemontcg.io/sm1/1.png,https://images.pokemontcg.io/sm1/1_hires.png,0.18,,0.41,0.12,0.14,0.18
ex13-1,Armaldo δ,Pokémon,Stage 2,"Fighting, Metal",110.0,1,Rare Holo,Masakazu Fukuda,ex13,Holon Phantoms,EX,2006/05/01,2006,https://images.pokemontcg.io/ex13/1.png,https://images.pokemontcg.io/ex13/1_hires.png,,50.72,90.33,9.83,9.9,50.72
dv1-2,Dratini,Pokémon,Basic,Dragon,40.0,2,Rare Holo,Naoki Saito,dv1,Dragon Vault,Black & White,2012/10/05,2012,https://images.pokemontcg.io/dv1/2.png,https://images.pokemontcg.io/dv1/2_hires.png,,14.06,,6.07,3.18,14.06
ecard2-H3,Ariados,Pokémon,Stage 1,Grass,70.0,H3,Rare Holo,Shin-ichi Yoshida,ecard2,Aquapolis,E-Card,2003/01/15,2003,https://images.pokemontcg.io/ecard2/H3.png,https://images.pokemontcg.io/ecard2/H3_hires.png,,,,44.89,38.8,44.89
sm12-2,Oddish,Pokémon,Basic,Grass,60.0,2,Common,Yumi,sm12,Cosmic Eclipse,Sun & Moon,2019/11/01,2019,https://images.pokemontcg.io/sm12/2.png,https://images.pokemontcg.io/sm12/2_hires.png,0.26,,1.37,0.06,0.07,0.26
ex9-2,Deoxys,Pokémon,Basic,Psychic,70.0,2,Rare Holo,Hironobu Yoshida,ex9,Emerald,EX,2005/05/01,2005,https://images.pokemontcg.io/ex9/2.png,https://images.pokemontcg.io/ex9/2_hires.png,129.98,105.81,202.08,24.52,23.01,129.98
bw1-2,Snivy,Pokémon,Basic,Grass,60.0,2,Common,5ban Graphics,bw1,Black & White,Black & White,2011/04/25,2011,https://images.pokemontcg.io/bw1/2.png,https://images.pokemontcg.io/bw1/2_hires.png,0.57,,4.73,0.25,0.27,0.57
base4-3,Chansey,Pokémon,Basic,Colorless,120.0,3,Rare Holo,Ken Sugimori,base4,Base Set 2,Base,2000/02/24,2000,https://images.pokemontcg.io/base4/3.png,https://images.pokemontcg.io/base4/3_hires.png,,22.16,,18.75,20.9,22.16
ru1-3,Ninetales,Pokémon,Stage 1,Fire,90.0,3,,Pokemon Rumble,ru1,Pokémon Rumble,Other,2009/12/02,2009,https://images.pokemontcg.io/ru1/3.png,https://images.pokemontcg.io/ru1/3_hires.png,373.22,,,109.34,131.25,373.22
xy5-3,Beedrill,Pokémon,Stage 2,Grass,120.0,3,Rare,Kouki Saitou,xy5,Primal Clash,XY,2015/02/04,2015,https://images.pokemontcg.io/xy5/3.png,https://images.pokemontcg.io/xy5/3_hires.png,0.52,,0.9,0.63,0.69,0.52
pop6-3,Manaphy,Pokémon,Basic,Water,70.0,3,Rare,Atsuko Nishida,pop6,POP Series 6,POP,2007/09/01,2007,https://images.pokemontcg.io/pop6/3.png,https://images.pokemontcg.io/pop6/3_hires.png,5.38,10.03,,3.01,3.12,5.38
si1-2,Pidgeot,Pokémon,Stage 2,Colorless,70.0,2,,Keiko Fukuyama,si1,Southern Islands,Other,2001/07/31,2001,https://images.pokemontcg.io/si1/2.png,https://images.pokemontcg.io/si1/2_hires.png,43.01,,,28.98,26.62,43.01
ex11-3,Dragonite δ,Pokémon,Stage 2,"Lightning, Metal",100.0,3,Rare Holo,Ryo Ueda,ex11,Delta Species,EX,2005/10/31,2005,https://images.pokemontcg.io/ex11/3.png,https://images.pokemontcg.io/ex11/3_hires.png,,345.75,399.95,59.91,67.82,345.75
pl3-3,Drifblim FB,Pokémon,"Basic, SP",Psychic,80.0,3,Rare Holo,Lee HyunJung,pl3,Supreme Victors,Platinum,2009/08/19,2009,https://images.pokemontcg.io/pl3/3.png,https://images.pokemontcg.io/pl3/3_hires.png,,7.84,8.79,4.18,4.39,7.84
base3-3,Ditto,Pokémon,Basic,Colorless,50.0,3,Rare Holo,Keiji Kinebuchi,base3,Fossil,Base,1999/10/10,1999,https://images.pokemontcg.io/base3/3.png,https://images.pokemontcg.io/base3/3_hires.png,,,,31.31,33.39,31.31
hgss1-3,Clefable,Pokémon,Stage 1,Colorless,80.0,3,Rare Holo,Masakazu Fukuda,hgss1,HeartGold & SoulSilver,HeartGold & SoulSilver,2010/02/10,2010,https://images.pokemontcg.io/hgss1/3.png,https://images.pokemontcg.io/hgss1/3_hires.png,,11.07,9.38,4.93,4.08,11.07
ex13-2,Cradily δ,Pokémon,Stage 2,"Darkness, Metal",100.0,2,Rare Holo,Kouki Saitou,ex13,Holon Phantoms,EX,2006/05/01,2006,https://images.pokemontcg.io/ex13/2.png,https://images.pokemontcg.io/ex13/2_hires.png,,21.05,31.74,7.18,8.85,21.05
hgss4-3,Celebi,Pokémon,Basic,Psychic,70.0,3,Rare Holo,Shin Nagasawa,hgss4,HS—Triumphant,HeartGold & SoulSilver,2010/11/03,2010,https://images.pokemontcg.io/hgss4/3.png,https://images.pokemontcg.io/hgss4/3_hires.png,,22.95,36.0,4.46,4.5,22.95
xy7-2,Gloom,Pokémon,Stage 1,Grass,80.0,2,Uncommon,Masakazu Fukuda,xy7,Ancient Origins,XY,2015/08/12,2015,https://images.pokemontcg.io/xy7/2.png,https://images.pokemontcg.io/xy7/2_hires.png,0.08,,0.53,0.21,0.19,0.08
bw10-2,Masquerain,Pokémon,"Stage 1, Team Plasma",Grass,80.0,2,Rare,5ban Graphics,bw10,Plasma Blast,Black & White,2013/08/14,2013,https://images.pokemontcg.io/bw10/2.png,https://images.pokemontcg.io/bw10/2_hires.png,0.62,,1.22,0.44,0.58,0.62
ex7-3,Dark Crobat,Pokémon,Stage 2,"Grass, Darkness",90.0,3,Rare Holo,Kyoko Koizumi,ex7,Team Rocket Returns,EX,2004/11/01,2004,https://images.pokemontcg.io/ex7/3.png,https://images.pokemontcg.io/ex7/3_hires.png,,31.35,175.58,13.38,18.33,31.35
ex12-3,Cradily,Pokémon,Stage 2,Grass,100.0,3,Rare Holo,Hajime Kusajima,ex12,Legend Maker,EX,2006/02/01,2006,https://images.pokemontcg.io/ex12/3.png,https://images.pokemontcg.io/ex12/3_hires.png,,12.22,24.13,4.9,4.74,12.22
swsh35-2,Weedle,Pokémon,Basic,Grass,60.0,2,Common,Yuka Morii,swsh35,Champion's Path,Sword & Shield,2020/09/25,2020,https://images.pokemontcg.io/swsh35/2.png,https://images.pokemontcg.io/swsh35/2_hires.png,0.35,,0.71,0.04,0.08,0.35
gym2-2,Blaine's Charizard,Pokémon,Stage 2,Fire,100.0,2,Rare Holo,Ken Sugimori,gym2,Gym Challenge,Gym,2000/10/16,2000,https://images.pokemontcg.io/gym2/2.png,https://images.pokemontcg.io/gym2/2_hires.png,,,,630.65,643.27,630.65
xy2-3,Butterfree,Pokémon,Stage 2,Grass,130.0,3,Rare,sui,xy2,Flashfire,XY,2014/05/07,2014,https://images.pokemontcg.io/xy2/3.png,https://images.pokemontcg.io/xy2/3_hires.png,0.77,,1.47,1.26,1.26,0.77
xy11-2,Tangrowth,Pokémon,Stage 1,Grass,130.0,2,Uncommon,kirisAki,xy11,Steam Siege,XY,2016/08/03,2016,https://images.pokemontcg.io/xy11/2.png,https://images.pokemontcg.io/xy11/2_hires.png,0.17,,0.49,0.19,0.12,0.17
det1-3,Morelull,Pokémon,Basic,Grass,50.0,3,Common,MPC Film,det1,Detective Pikachu,Sun & Moon,2019/04/05,2019,https://images.pokemontcg.io/det1/3.png,https://images.pokemontcg.io/det1/3_hires.png,,0.36,,0.2,0.23,0.36
ex3-3,Crawdaunt,Pokémon,Stage 1,Water,80.0,3,Rare Holo,Hisao Nakamura,ex3,Dragon,EX,2003/11/24,2003,https://images.pokemontcg.io/ex3/3.png,https://images.pokemontcg.io/ex3/3_hires.png,,9.63,11.28,5.15,4.9,9.63
dv1-3,Dragonair,Pokémon,Stage 1,Dragon,70.0,3,Rare Holo,Hajime Kusajima,dv1,Dragon Vault,Black & White,2012/10/05,2012,https://images.pokemontcg.io/dv1/3.png,https://images.pokemontcg.io/dv1/3_hires.png,,6.03,,5.67,4.34,6.03
sm9-3,Weedle,Pokémon,Basic,Grass,50.0,3,Common,SATOSHI NAKAI,sm9,Team Up,Sun & Moon,2019/02/01,2019,https://images.pokemontcg.io/sm9/3.png,https://images.pokemontcg.io/sm9/3_hires.png,0.23,,0.41,0.1,0.13,0.23
pop7-2,Gallade,Pokémon,Stage 2,Fighting,130.0,2,Rare,Daisuke Ito,pop7,POP Series 7,POP,2008/03/01,2008,https://images.pokemontcg.io/pop7/2.png,https://images.pokemontcg.io/pop7/2_hires.png,20.28,32.0,,6.65,9.31,20.28
sm1-2,Metapod,Pokémon,Stage 1,Grass,80.0,2,Uncommon,Yuka Morii,sm1,Sun & Moon,Sun & Moon,2017/02/03,2017,https://images.pokemontcg.io/sm1/2.png,https://images.pokemontcg.io/sm1/2_hires.png,0.41,,0.87,0.15,0.18,0.41
mcd19-3,Magmar,Pokémon,Basic,Fire,80.0,3,,Yumi,mcd19,McDonald's Collection 2019,Other,2019/10/15,2019,https://images.pokemontcg.io/mcd19/3.png,https://images.pokemontcg.io/mcd19/3_hires.png,,10.56,,3.83,3.0,10.56
col1-2,Deoxys,Pokémon,Basic,Psychic,80.0,2,Rare Holo,Ryo Ueda,col1,Call of Legends,HeartGold & SoulSilver,2011/02/09,2011,https://images.pokemontcg.io/col1/2.png,https://images.pokemontcg.io/col1/2_hires.png,,40.35,56.97,12.43,17.86,40.35
pl1-3,Blaziken,Pokémon,Stage 2,Fire,130.0,3,Rare Holo,Hajime Kusajima,pl1,Platinum,Platinum,2009/02/11,2009,https://images.pokemontcg.io/pl1/3.png,https://images.pokemontcg.io/pl1/3_hires.png,,24.63,22.61,2.46,3.63,24.63
sm115-2,Metapod,Pokémon,Stage 1,Grass,90.0,2,Uncommon,Shibuzoh.,sm115,Hidden Fates,Sun & Moon,2019/08/23,2019,https://images.pokemontcg.io/sm115/2.png,https://images.pokemontcg.io/sm115/2_hires.png,0.14,,0.42,0.08,0.08,0.14
gym1-3,Erika's Clefable,Pokémon,Stage 1,Colorless,70.0,3,Rare Holo,Atsuko Nishida,gym1,Gym Heroes,Gym,2000/08/14,2000,https://images.pokemontcg.io/gym1/3.png,https://images.pokemontcg.io/gym1/3_hires.png,,,,31.61,37.0,31.61
dp3-3,Charizard,Pokémon,Stage 2,Fire,130.0,3,Rare Holo,Daisuke Ito,dp3,Secret Wonders,Diamond & Pearl,2007/11/01,2007,https://images.pokemontcg.io/dp3/3.png,https://images.pokemontcg.io/dp3/3_hires.png,,137.72,165.0,0.02,34.04,137.72
sm2-1,Bellsprout,Pokémon,Basic,Grass,60.0,1,Common,Aya Kusube,sm2,Guardians Rising,Sun & Moon,2017/05/05,2017,https://images.pokemontcg.io/sm2/1.png,https://images.pokemontcg.io/sm2/1_hires.png,0.25,,0.44,0.15,0.09,0.25
base5-1,Dark Alakazam,Pokémon,Stage 2,Psychic,60.0,1,Rare Holo,Ken Sugimori,base5,Team Rocket,Base,2000/04/24,2000,https://images.pokemontcg.io/base5/1.png,https://images.pokemontcg.io/base5/1_hires.png,,,,40.12,72.07,40.12
