card_id,name,number,rarity,types,set.name,set.release_date,images.large,prices.cardmarket_trend,prices.tcgplayer_variants.holofoil.market
base3-1,Aerodactyl,1,Rare Holo,Fighting,Fossil,1999/10/10,https://images.pokemontcg.io/base3/1_hires.png,44.11,
sm9-1,Celebi & Venusaur-GX,1,Rare Holo GX,Grass,Team Up,2019/02/01,https://images.pokemontcg.io/sm9/1_hires.png,43.84,51.64
xy2-1,Caterpie,1,Common,Grass,Flashfire,2014/05/07,https://images.pokemontcg.io/xy2/1_hires.png,0.09,
pop6-1,Bastiodon,1,Rare,Metal,POP Series 6,2007/09/01,https://images.pokemontcg.io/pop6/1_hires.png,1.76,
ecard2-H2,Arcanine,H2,Rare Holo,Fire,Aquapolis,2003/01/15,https://images.pokemontcg.io/ecard2/H2_hires.png,229.99,
hgss4-2,Altaria,2,Rare Holo,Colorless,HS—Triumphant,2010/11/03,https://images.pokemontcg.io/hgss4/2_hires.png,3.79,11.67
pl1-2,Blastoise,2,Rare Holo,Water,Platinum,2009/02/11,https://images.pokemontcg.io/pl1/2_hires.png,7.64,58.59
ex3-2,Altaria,2,Rare Holo,Colorless,Dragon,2003/11/24,https://images.pokemontcg.io/ex3/2_hires.png,17.23,61.05
dp3-2,Blastoise,2,Rare Holo,Water,Secret Wonders,2007/11/01,https://images.pokemontcg.io/dp3/2_hires.png,9.64,99.5
base3-2,Articuno,2,Rare Holo,Water,Fossil,1999/10/10,https://images.pokemontcg.io/base3/2_hires.png,67.05,
pl3-2,Blaziken FB,2,Rare Holo,Fire,Supreme Victors,2009/08/19,https://images.pokemontcg.io/pl3/2_hires.png,9.49,38.0
ex11-2,Crobat δ,2,Rare Holo,"Grass, Metal",Delta Species,2005/10/31,https://images.pokemontcg.io/ex11/2_hires.png,5.2,26.54
pop6-2,Lucario,2,Rare,Fighting,POP Series 6,2007/09/01,https://images.pokemontcg.io/pop6/2_hires.png,9.93,
xy2-2,Metapod,2,Uncommon,Grass,Flashfire,2014/05/07,https://images.pokemontcg.io/xy2/2_hires.png,0.17,
base4-2,Blastoise,2,Rare Holo,Water,Base Set 2,2000/02/24,https://images.pokemontcg.io/base4/2_hires.png,101.77,154.74
gym1-2,Brock's Rhydon,2,Rare Holo,Fighting,Gym Heroes,2000/08/14,https://images.pokemontcg.io/gym1/2_hires.png,31.89,
hgss1-2,Azumarill,2,Rare Holo,Water,HeartGold & SoulSilver,2010/02/10,https://images.pokemontcg.io/hgss1/2_hires.png,3.64,9.71
det1-2,Ludicolo,2,Rare,Grass,Detective Pikachu,2019/04/05,https://images.pokemontcg.io/det1/2_hires.png,1.69,1.01
sm9-2,Weedle,2,Common,Grass,Team Up,2019/02/01,https://images.pokemontcg.io/sm9/2_hires.png,0.17,
ex12-2,Aggron,2,Rare Holo,Metal,Legend Maker,2006/02/01,https://images.pokemontcg.io/ex12/2_hires.png,8.74,25.55
ex7-2,Dark Ampharos,2,Rare Holo,"Lightning, Darkness",Team Rocket Returns,2004/11/01,https://images.pokemontcg.io/ex7/2_hires.png,34.37,114.96
ru1-2,Cherrim,2,,Grass,Pokémon Rumble,2009/12/02,https://images.pokemontcg.io/ru1/2_hires.png,24.94,
mcd19-2,Alolan Exeggutor,2,,Grass,McDonald's Collection 2019,2019/10/15,https://images.pokemontcg.io/mcd19/2_hires.png,1.71,7.77
xy5-2,Kakuna,2,Uncommon,Grass,Primal Clash,2015/02/04,https://images.pokemontcg.io/xy5/2_hires.png,0.19,
xy11-1,Tangela,1,Common,Grass,Steam Siege,2016/08/03,https://images.pokemontcg.io/xy11/1_hires.png,0.11,
ex14-1,Banette,1,Rare Holo,Psychic,Crystal Guardians,2006/08/01,https://images.pokemontcg.io/ex14/1_hires.png,4.95,17.52
sm12-1,Venusaur & Snivy-GX,1,Rare Holo GX,Grass,Cosmic Eclipse,2019/11/01,https://images.pokemontcg.io/sm12/1_hires.png,19.72,27.83
bw1-1,Snivy,1,Common,Grass,Black & White,2011/04/25,https://images.pokemontcg.io/bw1/1_hires.png,1.34,
sm115-1,Caterpie,1,Common,Grass,Hidden Fates,2019/08/23,https://images.pokemontcg.io/sm115/1_hires.png,0.06,
si1-1,Mew,1,,Psychic,Southern Islands,2001/07/31,https://images.pokemontcg.io/si1/1_hires.png,512.81,
dp1-1,Dialga,1,Rare Holo,Metal,Diamond & Pearl,2007/05/01,https://images.pokemontcg.io/dp1/1_hires.png,6.65,42.93
sm3-1,Caterpie,1,Common,Grass,Burning Shadows,2017/08/05,https://images.pokemontcg.io/sm3/1_hires.png,0.07,
pop7-1,Ampharos,1,Rare,Lightning,POP Series 7,2008/03/01,https://images.pokemontcg.io/pop7/1_hires.png,9.85,28.15
gym2-1,Blaine's Arcanine,1,Rare Holo,Fire,Gym Challenge,2000/10/16,https://images.pokemontcg.io/gym2/1_hires.png,95.7,
col1-1,Clefable,1,Rare Holo,Colorless,Call of Legends,2011/02/09,https://images.pokemontcg.io/col1/1_hires.png,7.64,17.95
ex9-1,Blaziken,1,Rare Holo,Fire,Emerald,2005/05/01,https://images.pokemontcg.io/ex9/1_hires.png,2.99,57.49
bw10-1,Surskit,1,Common,Grass,Plasma Blast,2013/08/14,https://images.pokemontcg.io/bw10/1_hires.png,0.15,
swsh35-1,Venusaur V,1,Rare Holo V,Grass,Champion's Path,2020/09/25,https://images.pokemontcg.io/swsh35/1_hires.png,4.07,2.95
xy7-1,Oddish,1,Common,Grass,Ancient Origins,2015/08/12,https://images.pokemontcg.io/xy7/1_hires.png,0.12,
sm1-1,Caterpie,1,Common,Grass,Sun & Moon,2017/02/03,https://images.pokemontcg.io/sm1/1_hires.png,0.12,
ex13-1,Armaldo δ,1,Rare Holo,"Fighting, Metal",Holon Phantoms,2006/05/01,https://images.pokemontcg.io/ex13/1_hires.png,9.83,50.72
dv1-2,Dratini,2,Rare Holo,Dragon,Dragon Vault,2012/10/05,https://images.pokemontcg.io/dv1/2_hires.png,6.07,14.06
ecard2-H3,Ariados,H3,Rare Holo,Grass,Aquapolis,2003/01/15,https://images.pokemontcg.io/ecard2/H3_hires.png,44.89,
sm12-2,Oddish,2,Common,Grass,Cosmic Eclipse,2019/11/01,https://images.pokemontcg.io/sm12/2_hires.png,0.06,
ex9-2,Deoxys,2,Rare Holo,Psychic,Emerald,2005/05/01,https://images.pokemontcg.io/ex9/2_hires.png,24.52,105.81
bw1-2,Snivy,2,Common,Grass,Black & White,2011/04/25,https://images.pokemontcg.io/bw1/2_hires.png,0.25,
base4-3,Chansey,3,Rare Holo,Colorless,Base Set 2,2000/02/24,https://images.pokemontcg.io/base4/3_hires.png,18.75,22.16
ru1-3,Ninetales,3,,Fire,Pokémon Rumble,2009/12/02,https://images.pokemontcg.io/ru1/3_hires.png,109.34,
xy5-3,Beedrill,3,Rare,Grass,Primal Clash,2015/02/04,https://images.pokemontcg.io/xy5/3_hires.png,0.63,
pop6-3,Manaphy,3,Rare,Water,POP Series 6,2007/09/01,https://images.pokemontcg.io/pop6/3_hires.png,3.01,10.03
si1-2,Pidgeot,2,,Colorless,Southern Islands,2001/07/31,https://images.pokemontcg.io/si1/2_hires.png,28.98,
ex11-3,Dragonite δ,3,Rare Holo,"Lightning, Metal",Delta Species,2005/10/31,https://images.pokemontcg.io/ex11/3_hires.png,59.91,345.75
pl3-3,Drifblim FB,3,Rare Holo,Psychic,Supreme Victors,2009/08/19,https://images.pokemontcg.io/pl3/3_hires.png,4.18,7.84
base3-3,Ditto,3,Rare Holo,Colorless,Fossil,1999/10/10,https://images.pokemontcg.io/base3/3_hires.png,31.31,
hgss1-3,Clefable,3,Rare Holo,Colorless,HeartGold & SoulSilver,2010/02/10,https://images.pokemontcg.io/hgss1/3_hires.png,4.93,11.07
ex13-2,Cradily δ,2,Rare Holo,"Darkness, Metal",Holon Phantoms,2006/05/01,https://images.pokemontcg.io/ex13/2_hires.png,7.18,21.05
hgss4-3,Celebi,3,Rare Holo,Psychic,HS—Triumphant,2010/11/03,https://images.pokemontcg.io/hgss4/3_hires.png,4.46,22.95
xy7-2,Gloom,2,Uncommon,Grass,Ancient Origins,2015/08/12,https://images.pokemontcg.io/xy7/2_hires.png,0.21,
bw10-2,Masquerain,2,Rare,Grass,Plasma Blast,2013/08/14,https://images.pokemontcg.io/bw10/2_hires.png,0.44,
ex7-3,Dark Crobat,3,Rare Holo,"Grass, Darkness",Team Rocket Returns,2004/11/01,https://images.pokemontcg.io/ex7/3_hires.png,13.38,31.35
ex12-3,Cradily,3,Rare Holo,Grass,Legend Maker,2006/02/01,https://images.pokemontcg.io/ex12/3_hires.png,4.9,12.22
swsh35-2,Weedle,2,Common,Grass,Champion's Path,2020/09/25,https://images.pokemontcg.io/swsh35/2_hires.png,0.04,
gym2-2,Blaine's Charizard,2,Rare Holo,Fire,Gym Challenge,2000/10/16,https://images.pokemontcg.io/gym2/2_hires.png,630.65,
xy2-3,Butterfree,3,Rare,Grass,Flashfire,2014/05/07,https://images.pokemontcg.io/xy2/3_hires.png,1.26,
xy11-2,Tangrowth,2,Uncommon,Grass,Steam Siege,2016/08/03,https://images.pokemontcg.io/xy11/2_hires.png,0.19,
det1-3,Morelull,3,Common,Grass,Detective Pikachu,2019/04/05,https://images.pokemontcg.io/det1/3_hires.png,0.2,0.36
ex3-3,Crawdaunt,3,Rare Holo,Water,Dragon,2003/11/24,https://images.pokemontcg.io/ex3/3_hires.png,5.15,9.63
dv1-3,Dragonair,3,Rare Holo,Dragon,Dragon Vault,2012/10/05,https://images.pokemontcg.io/dv1/3_hires.png,5.67,6.03
sm9-3,Weedle,3,Common,Grass,Team Up,2019/02/01,https://images.pokemontcg.io/sm9/3_hires.png,0.1,
pop7-2,Gallade,2,Rare,Fighting,POP Series 7,2008/03/01,https://images.pokemontcg.io/pop7/2_hires.png,6.65,32.0
sm1-2,Metapod,2,Uncommon,Grass,Sun & Moon,2017/02/03,https://images.pokemontcg.io/sm1/2_hires.png,0.15,
mcd19-3,Magmar,3,,Fire,McDonald's Collection 2019,2019/10/15,https://images.pokemontcg.io/mcd19/3_hires.png,3.83,10.56
col1-2,Deoxys,2,Rare Holo,Psychic,Call of Legends,2011/02/09,https://images.pokemontcg.io/col1/2_hires.png,12.43,40.35
pl1-3,Blaziken,3,Rare Holo,Fire,Platinum,2009/02/11,https://images.pokemontcg.io/pl1/3_hires.png,2.46,24.63
sm115-2,Metapod,2,Uncommon,Grass,Hidden Fates,2019/08/23,https://images.pokemontcg.io/sm115/2_hires.png,0.08,
gym1-3,Erika's Clefable,3,Rare Holo,Colorless,Gym Heroes,2000/08/14,https://images.pokemontcg.io/gym1/3_hires.png,31.61,
dp3-3,Charizard,3,Rare Holo,Fire,Secret Wonders,2007/11/01,https://images.pokemontcg.io/dp3/3_hires.png,0.02,137.72
sm2-1,Bellsprout,1,Common,Grass,Guardians Rising,2017/05/05,https://images.pokemontcg.io/sm2/1_hires.png,0.15,
base5-1,Dark Alakazam,1,Rare Holo,Psychic,Team Rocket,2000/04/24,https://images.pokemontcg.io/base5/1_hires.png,40.12,
xy4-1,Venonat,1,Common,Grass,Phantom Forces,2014/11/05,https://images.pokemontcg.io/xy4/1_hires.png,0.12,
bw11-1,Tangela,1,Common,Grass,Legendary Treasures,2013/11/06,https://images.pokemontcg.io/bw11/1_hires.png,0.39,
ex4-1,Team Aqua's Cacturne,1,Rare Holo,"Grass, Darkness",Team Magma vs Team Aqua,2004/03/01,https://images.pokemontcg.io/ex4/1_hires.png,11.73,29.69
bw4-1,Pinsir,1,Rare,Grass,Next Destinies,2012/02/08,https://images.pokemontcg.io/bw4/1_hires.png,0.4,
bw9-1,Weedle,1,Common,Grass,Plasma Freeze,2013/05/08,https://images.pokemontcg.io/bw9/1_hires.png,0.19,
base1-1,Alakazam,1,Rare Holo,Psychic,Base,1999/01/09,https://images.pokemontcg.io/base1/1_hires.png,268.62,69.34
pop3-1,Blastoise,1,Rare,Water,POP Series 3,2006/04/01,https://images.pokemontcg.io/pop3/1_hires.png,122.4,217.5
dp4-1,Blaziken,1,Rare Holo,Fire,Great Encounters,2008/02/01,https://images.pokemontcg.io/dp4/1_hires.png,6.45,24.04
bw7-1,Oddish,1,Common,Grass,Boundaries Crossed,2012/11/07,https://images.pokemontcg.io/bw7/1_hires.png,0.45,
ex8-1,Altaria,1,Rare Holo,Colorless,Deoxys,2005/02/01,https://images.pokemontcg.io/ex8/1_hires.png,11.93,68.29
bw5-1,Bulbasaur,1,Common,Grass,Dark Explorers,2012/05/09,https://images.pokemontcg.io/bw5/1_hires.png,1.8,
pop5-1,Ho-Oh,1,Rare,Fire,POP Series 5,2007/03/01,https://images.pokemontcg.io/pop5/1_hires.png,39.6,59.63
sm5-1,Exeggcute,1,Common,Grass,Ultra Prism,2018/02/02,https://images.pokemontcg.io/sm5/1_hires.png,0.1,
xy10-1,Shuckle,1,Uncommon,Grass,Fates Collide,2016/05/02,https://images.pokemontcg.io/xy10/1_hires.png,0.16,
sm8-1,Tangela,1,Common,Grass,Lost Thunder,2018/11/02,https://images.pokemontcg.io/sm8/1_hires.png,0.21,
hgss2-1,Jirachi,1,Rare Holo,Psychic,HS—Unleashed,2010/05/12,https://images.pokemontcg.io/hgss2/1_hires.png,33.66,26.6
dpp-DP01,Turtwig,DP01,Promo,Grass,DP Black Star Promos,2007/05/01,https://images.pokemontcg.io/dpp/DP01_hires.png,,31.91
swsh1-1,Celebi V,1,Rare Holo V,Grass,Sword & Shield,2020/02/07,https://images.pokemontcg.io/swsh1/1_hires.png,2.72,1.87
basep-1,Pikachu,1,Promo,Lightning,Wizards Black Star Promos,1999/07/01,https://images.pokemontcg.io/basep/1_hires.png,18.44,
swsh4-1,Weedle,1,Common,Grass,Vivid Voltage,2020/11/13,https://images.pokemontcg.io/swsh4/1_hires.png,0.07,
xy1-1,Venusaur-EX,1,Rare Holo EX,Grass,XY,2014/02/05,https://images.pokemontcg.io/xy1/1_hires.png,4.59,6.64
pop1-1,Blaziken,1,Rare,Fire,POP Series 1,2004/09/01,https://images.pokemontcg.io/pop1/1_hires.png,20.2,17.91
bw8-1,Turtwig,1,Common,Grass,Plasma Storm,2013/02/06,https://images.pokemontcg.io/bw8/1_hires.png,0.25,
base6-1,Alakazam,1,Rare Holo,Psychic,Legendary Collection,2002/05/24,https://images.pokemontcg.io/base6/1_hires.png,70.47,75.74
pop9-1,Garchomp,1,Rare,Colorless,POP Series 9,2009/03/01,https://images.pokemontcg.io/pop9/1_hires.png,18.37,
pop4-1,Chimecho δ,1,Rare,Metal,POP Series 4,2006/08/01,https://images.pokemontcg.io/pop4/1_hires.png,258.29,
neo4-1,Dark Ampharos,1,Rare Holo,Lightning,Neo Destiny,2002/02/28,https://images.pokemontcg.io/neo4/1_hires.png,92.89,
neo3-1,Ampharos,1,Rare Holo,Lightning,Neo Revelation,2001/09/21,https://images.pokemontcg.io/neo3/1_hires.png,39.91,
pl4-1,Charizard,1,Rare Holo,Fire,Arceus,2009/11/04,https://images.pokemontcg.io/pl4/1_hires.png,30.48,113.69
mcd19-4,Alolan Sandshrew,4,,Water,McDonald's Collection 2019,2019/10/15,https://images.pokemontcg.io/mcd19/4_hires.png,1.96,11.53
sm115-3,Butterfree,3,Rare,Grass,Hidden Fates,2019/08/23,https://images.pokemontcg.io/sm115/3_hires.png,0.18,
base3-4,Dragonite,4,Rare Holo,Colorless,Fossil,1999/10/10,https://images.pokemontcg.io/base3/4_hires.png,110.31,
ex9-3,Exploud,3,Rare Holo,Colorless,Emerald,2005/05/01,https://images.pokemontcg.io/ex9/3_hires.png,12.1,27.01
pop7-3,Latias,3,Rare,Colorless,POP Series 7,2008/03/01,https://images.pokemontcg.io/pop7/3_hires.png,8.66,54.69
pop6-4,Pachirisu,4,Rare,Lightning,POP Series 6,2007/09/01,https://images.pokemontcg.io/pop6/4_hires.png,1.64,
det1-4,Charmander,4,Common,Fire,Detective Pikachu,2019/04/05,https://images.pokemontcg.io/det1/4_hires.png,0.71,0.85
ex4-2,Team Aqua's Crawdaunt,2,Rare Holo,"Water, Darkness",Team Magma vs Team Aqua,2004/03/01,https://images.pokemontcg.io/ex4/2_hires.png,9.6,29.98
hgss1-4,Gyarados,4,Rare Holo,Water,HeartGold & SoulSilver,2010/02/10,https://images.pokemontcg.io/hgss1/4_hires.png,17.08,60.86
xy1-2,M Venusaur-EX,2,Rare Holo EX,Grass,XY,2014/02/05,https://images.pokemontcg.io/xy1/2_hires.png,17.0,21.59
ex8-2,Beautifly,2,Rare Holo,Grass,Deoxys,2005/02/01,https://images.pokemontcg.io/ex8/2_hires.png,6.53,20.29
bw5-2,Ivysaur,2,Uncommon,Grass,Dark Explorers,2012/05/09,https://images.pokemontcg.io/bw5/2_hires.png,2.85,
dpp-DP02,Chimchar,DP02,Promo,Fire,DP Black Star Promos,2007/05/01,https://images.pokemontcg.io/dpp/DP02_hires.png,,25.87
sm2-2,Weepinbell,2,Uncommon,Grass,Guardians Rising,2017/05/05,https://images.pokemontcg.io/sm2/2_hires.png,0.08,
pop4-2,Deoxys δ,2,Rare,Colorless,POP Series 4,2006/08/01,https://images.pokemontcg.io/pop4/2_hires.png,26.47,225.5
bw7-2,Gloom,2,Uncommon,Grass,Boundaries Crossed,2012/11/07,https://images.pokemontcg.io/bw7/2_hires.png,0.37,
xy4-2,Venomoth,2,Rare,Grass,Phantom Forces,2014/11/05,https://images.pokemontcg.io/xy4/2_hires.png,0.44,
col1-3,Dialga,3,Rare Holo,Metal,Call of Legends,2011/02/09,https://images.pokemontcg.io/col1/3_hires.png,8.3,35.37
ex12-4,Delcatty,4,Rare Holo,Colorless,Legend Maker,2006/02/01,https://images.pokemontcg.io/ex12/4_hires.png,5.74,14.53
bw11-2,Tangrowth,2,Rare,Grass,Legendary Treasures,2013/11/06,https://images.pokemontcg.io/bw11/2_hires.png,0.52,
pl1-4,Delcatty,4,Rare Holo,Colorless,Platinum,2009/02/11,https://images.pokemontcg.io/pl1/4_hires.png,1.83,11.32
swsh35-3,Kakuna,3,Common,Grass,Champion's Path,2020/09/25,https://images.pokemontcg.io/swsh35/3_hires.png,0.06,
base5-2,Dark Arbok,2,Rare Holo,Grass,Team Rocket,2000/04/24,https://images.pokemontcg.io/base5/2_hires.png,12.61,
ecard2-H4,Azumarill,H4,Rare Holo,Water,Aquapolis,2003/01/15,https://images.pokemontcg.io/ecard2/H4_hires.png,64.37,
neo4-2,Dark Crobat,2,Rare Holo,Grass,Neo Destiny,2002/02/28,https://images.pokemontcg.io/neo4/2_hires.png,69.42,
ex3-4,Flygon,4,Rare Holo,Colorless,Dragon,2003/11/24,https://images.pokemontcg.io/ex3/4_hires.png,17.96,65.44
xy2-4,Pineco,4,Common,Grass,Flashfire,2014/05/07,https://images.pokemontcg.io/xy2/4_hires.png,0.17,
pop5-2,Lugia,2,Rare,Psychic,POP Series 5,2007/03/01,https://images.pokemontcg.io/pop5/2_hires.png,95.71,147.5
base6-2,Articuno,2,Rare Holo,Water,Legendary Collection,2002/05/24,https://images.pokemontcg.io/base6/2_hires.png,22.85,69.99
dv1-4,Dragonair,4,Rare Holo,Dragon,Dragon Vault,2012/10/05,https://images.pokemontcg.io/dv1/4_hires.png,9.92,14.83
ex11-4,Espeon δ,4,Rare Holo,"Psychic, Metal",Delta Species,2005/10/31,https://images.pokemontcg.io/ex11/4_hires.png,87.35,262.87
dp4-2,Cresselia,2,Rare Holo,Psychic,Great Encounters,2008/02/01,https://images.pokemontcg.io/dp4/2_hires.png,2.85,17.65
dp1-2,Dusknoir,2,Rare Holo,Psychic,Diamond & Pearl,2007/05/01,https://images.pokemontcg.io/dp1/2_hires.png,1.69,13.03
gym2-3,Brock's Ninetales,3,Rare Holo,Fire,Gym Challenge,2000/10/16,https://images.pokemontcg.io/gym2/3_hires.png,89.2,
pop1-2,Metagross,2,Rare,Metal,POP Series 1,2004/09/01,https://images.pokemontcg.io/pop1/2_hires.png,15.03,13.4
si1-3,Onix,3,,Fighting,Southern Islands,2001/07/31,https://images.pokemontcg.io/si1/3_hires.png,45.08,
dp3-4,Entei,4,Rare Holo,Fire,Secret Wonders,2007/11/01,https://images.pokemontcg.io/dp3/4_hires.png,4.07,40.67
base4-4,Charizard,4,Rare Holo,Fire,Base Set 2,2000/02/24,https://images.pokemontcg.io/base4/4_hires.png,229.42,492.61
pl4-2,Froslass,2,Rare Holo,Water,Arceus,2009/11/04,https://images.pokemontcg.io/pl4/2_hires.png,2.6,8.98
bw8-2,Grotle,2,Uncommon,Grass,Plasma Storm,2013/02/06,https://images.pokemontcg.io/bw8/2_hires.png,0.33,
pop3-2,Flareon,2,Rare,Fire,POP Series 3,2006/04/01,https://images.pokemontcg.io/pop3/2_hires.png,33.48,39.07
xy11-3,Hoppip,3,Common,Grass,Steam Siege,2016/08/03,https://images.pokemontcg.io/xy11/3_hires.png,0.07,
sm3-2,Metapod,2,Uncommon,Grass,Burning Shadows,2017/08/05,https://images.pokemontcg.io/sm3/2_hires.png,0.07,
swsh1-2,Roselia,2,Common,Grass,Sword & Shield,2020/02/07,https://images.pokemontcg.io/swsh1/2_hires.png,0.11,
pop9-2,Manaphy,2,Rare,Water,POP Series 9,2009/03/01,https://images.pokemontcg.io/pop9/2_hires.png,4.0,9.59
xy7-3,Vileplume,3,Rare,Grass,Ancient Origins,2015/08/12,https://images.pokemontcg.io/xy7/3_hires.png,0.79,
bw10-3,Lileep,3,Uncommon,Grass,Plasma Blast,2013/08/14,https://images.pokemontcg.io/bw10/3_hires.png,0.23,
bw4-2,Seedot,2,Common,Grass,Next Destinies,2012/02/08,https://images.pokemontcg.io/bw4/2_hires.png,0.19,
sm9-4,Kakuna,4,Uncommon,Grass,Team Up,2019/02/01,https://images.pokemontcg.io/sm9/4_hires.png,0.26,
hgss4-4,Drapion,4,Rare Holo,Darkness,HS—Triumphant,2010/11/03,https://images.pokemontcg.io/hgss4/4_hires.png,4.15,3.27
ex13-3,Deoxys δ,3,Rare Holo,Darkness,Holon Phantoms,2006/05/01,https://images.pokemontcg.io/ex13/3_hires.png,27.44,81.65
sm5-2,Yanma,2,Common,Grass,Ultra Prism,2018/02/02,https://images.pokemontcg.io/sm5/2_hires.png,0.08,
sm75-1,Charmander,1,Common,Fire,Dragon Majesty,2018/09/07,https://images.pokemontcg.io/sm75/1_hires.png,2.8,
ex10-1,Ampharos,1,Rare Holo,Lightning,Unseen Forces,2005/08/01,https://images.pokemontcg.io/ex10/1_hires.png,12.91,103.69
bw6-1,Hoppip,1,Common,Grass,Dragons Exalted,2012/08/15,https://images.pokemontcg.io/bw6/1_hires.png,0.2,
si1-4,Togepi,4,,Colorless,Southern Islands,2001/07/31,https://images.pokemontcg.io/si1/4_hires.png,82.28,
bw5-3,Venusaur,3,Rare Holo,Grass,Dark Explorers,2012/05/09,https://images.pokemontcg.io/bw5/3_hires.png,5.89,15.4
dp1-3,Electivire,3,Rare Holo,Lightning,Diamond & Pearl,2007/05/01,https://images.pokemontcg.io/dp1/3_hires.png,26.3,17.75
xy11-4,Skiploom,4,Uncommon,Grass,Steam Siege,2016/08/03,https://images.pokemontcg.io/xy11/4_hires.png,0.13,
hgss4-5,Mamoswine,5,Rare Holo,Water,HS—Triumphant,2010/11/03,https://images.pokemontcg.io/hgss4/5_hires.png,3.05,3.68
sm12-3,Gloom,3,Uncommon,Grass,Cosmic Eclipse,2019/11/01,https://images.pokemontcg.io/sm12/3_hires.png,0.07,
ex7-4,Dark Electrode,4,Rare Holo,"Lightning, Darkness",Team Rocket Returns,2004/11/01,https://images.pokemontcg.io/ex7/4_hires.png,25.41,87.25
sm5-3,Yanmega,3,Uncommon,Grass,Ultra Prism,2018/02/02,https://images.pokemontcg.io/sm5/3_hires.png,0.11,
swsh1-3,Roselia,3,Common,Grass,Sword & Shield,2020/02/07,https://images.pokemontcg.io/swsh1/3_hires.png,0.05,
pl3-4,Electivire FB,4,Rare Holo,Lightning,Supreme Victors,2009/08/19,https://images.pokemontcg.io/pl3/4_hires.png,3.97,26.41
hgss1-5,Hitmontop,5,Rare Holo,Fighting,HeartGold & SoulSilver,2010/02/10,https://images.pokemontcg.io/hgss1/5_hires.png,3.32,8.22
ex12-5,Gengar,5,Rare Holo,Psychic,Legend Maker,2006/02/01,https://images.pokemontcg.io/ex12/5_hires.png,47.33,165.17
pl4-3,Heatran,3,Rare Holo,Fire,Arceus,2009/11/04,https://images.pokemontcg.io/pl4/3_hires.png,1.77,3.2
bw10-4,Cradily,4,Rare,Grass,Plasma Blast,2013/08/14,https://images.pokemontcg.io/bw10/4_hires.png,1.38,
pop4-3,Flygon,3,Rare,Fighting,POP Series 4,2006/08/01,https://images.pokemontcg.io/pop4/3_hires.png,3.33,32.24
ex3-5,Golem,5,Rare Holo,Fighting,Dragon,2003/11/24,https://images.pokemontcg.io/ex3/5_hires.png,17.93,43.33
swsh4-2,Kakuna,2,Uncommon,Grass,Vivid Voltage,2020/11/13,https://images.pokemontcg.io/swsh4/2_hires.png,0.1,
xy5-4,Tangela,4,Common,Grass,Primal Clash,2015/02/04,https://images.pokemontcg.io/xy5/4_hires.png,0.08,
ex9-4,Gardevoir,4,Rare Holo,Psychic,Emerald,2005/05/01,https://images.pokemontcg.io/ex9/4_hires.png,16.7,125.88
